"63485","","63485","5","","","","1"
"30219","","30219","5","","","","1"
"81064","","81064","5","","","","1"
"12521","","12521","5","","","","1"
"95517","","95517","5","","","","1"
"62284","","62284","5","","","","1"
"18533","","18533","5","","","","1"
"54834","","54834","5","","","","1"
"10880","","10880","5","","","","1"
"97823","","97823","5","","","","1"
"66981","","66981","5","","","","1"
"87067","","87067","5","","","","1"
"96154","","96154","5","","","","1"
"15475","","15475","5","","","","1"
"44781","","44781","5","","","","1"
"80791","","80791","5","","","","1"
"14924","","14924","5","","","","1"
"85448","","85448","5","","","","1"
"63002","","63002","5","","","","1"
"78629","","78629","5","","","","1"
"30498","","30498","5","","","","1"
"35107","","35107","5","","","","1"
"25682","","25682","5","","","","1"
"85103","","85103","5","","","","1"
"16976","","16976","5","","","","1"
"72453","","72453","5","","","","1"
"27404","","27404","5","","","","1"
"97221","","97221","5","","","","1"
"61177","","61177","5","","","","1"
"82315","","82315","5","","","","1"
"16180","","16180","5","","","","1"
"37080","","37080","5","","","","1"
"70862","","70862","5","","","","1"
"56343","","56343","5","","","","1"
"13409","","13409","5","","","","1"
"74174","","74174","5","","","","1"
"51664","","51664","5","","","","1"
"22058","","22058","5","","","","1"
"63852","","63852","5","","","","1"
"78165","","78165","5","","","","1"
"11686","","11686","5","","","","1"
"61867","","61867","5","","","","1"
"21770","","21770","5","","","","1"
"97314","","97314","5","","","","1"
"62860","","62860","5","","","","1"
"23346","","23346","5","","","","1"
"P85875","","P85875","5","P","","","1"
"80752","","80752","5","","","","1"
"P57862","","P57862","5","P","","","1"
"P61301","","P61301","5","P","","","1"
"P13954","","P13954","5","P","","","1"
"62720","","62720","5","","","","1"
"P21598","","P21598","5","P","","","1"
"P18599","","P18599","5","P","","","1"
"45709","","45709","5","","","","1"
"40093","","40093","5","","","","1"
"P52193","","P52193","5","P","","","1"
"10394","","10394","5","","","","1"
"P94904","","P94904","5","P","","","1"
"27528","","27528","5","","","","1"
"P10712","","P10712","5","P","","","1"
"P22689","","P22689","5","P","","","1"
"P44131","","P44131","5","P","","","1"
"95238","","95238","5","","","","1"
"15229","","15229","5","","","","1"
"P71757","","P71757","5","P","","","1"
"67669","","67669","5","","","","1"
"76880","","76880","5","","","","1"
"88847","","88847","5","","","","1"
"14930","","14930","5","","","","1"
"79886","","79886","5","","","","1"
"59394","","59394","5","","","","1"
"74108","","74108","5","","","","1"
"42642","","42642","5","","","","1"
"13244","","13244","5","","","","1"
"P92858","","P92858","5","P","","","1"
"83475","","83475","5","","","","1"
"42183","","42183","5","","","","1"
"72772","","72772","5","","","","1"
"75476","","75476","5","","","","1"
"12543","","12543","5","","","","1"
"91581","","91581","5","","","","1"
"P18472","","P18472","5","P","","","1"
"66483","","66483","5","","","","1"
"75914","","75914","5","","","","1"
"98311","","98311","5","","","","1"
"11225","","11225","5","","","","1"
"50541","","50541","5","","","","1"
"84984","","84984","5","","","","1"
"64629","","64629","5","","","","1"
"65771","","65771","5","","","","1"
"35262","","35262","5","","","","1"
"P29806","","P29806","5","P","","","1"
"26122","","26122","5","","","","1"
"23985","","23985","5","","","","1"
"99877","","99877","5","","","","1"
"90958","","90958","5","","","","1"
"34933","","34933","5","","","","1"
"70034","","70034","5","","","","1"
"31031","","31031","5","","","","1"
"67033","","67033","5","","","","1"
"46760","","46760","5","","","","1"
"58347","","58347","5","","","","1"
"95786","","95786","5","","","","1"
"57580","","57580","5","","","","1"
"75526","","75526","5","","","","1"
"28441","","28441","5","","","","1"
"19717","","19717","5","","","","1"
"46287","","46287","5","","","","1"
"48816","","48816","5","","","","1"
"52573","","52573","5","","","","1"
"P88643","","P88643","5","P","","","1"
"82348","","82348","5","","","","1"
"84856","","84856","5","","","","1"
"79587","","79587","5","","","","1"
"89236","","89236","5","","","","1"
"11364","","11364","5","","","","1"
"11704","","11704","5","","","","1"
"79512","","79512","5","","","","1"
"94469","","94469","5","","","","1"
"73628","","73628","5","","","","1"
"37559","","37559","5","","","","1"
"24905","","24905","5","","","","1"
"14913","","14913","5","","","","1"
"86908","","86908","5","","","","1"
"95249","","95249","5","","","","1"
"14181","","14181","5","","","","1"
"73555","","73555","5","","","","1"
"81541","","81541","5","","","","1"
"64460","","64460","5","","","","1"
"10546","","10546","5","","","","1"
"60587","","60587","5","","","","1"
"26619","","26619","5","","","","1"
"17783","","17783","5","","","","1"
"91592","","91592","5","","","","1"
"70001","","70001","5","","","","1"
"70161","","70161","5","","","","1"
"65491","","65491","5","","","","1"
"P32212","","P32212","5","P","","","1"
"78313","","78313","5","","","","1"
"63115","","63115","5","","","","1"
"95713","","95713","5","","","","1"
"65156","","65156","5","","","","1"
"57161","","57161","5","","","","1"
"P13875","","P13875","5","P","","","1"
"54964","","54964","5","","","","1"
"52789","","52789","5","","","","1"
"27901","","27901","5","","","","1"
"14095","","14095","5","","","","1"
"19745","","19745","5","","","","1"
"78578","","78578","5","","","","1"
"71969","","71969","5","","","","1"
"14499","","14499","5","","","","1"
"22316","","22316","5","","","","1"
"36317","","36317","5","","","","1"
"44672","","44672","5","","","","1"
"61122","","61122","5","","","","1"
"34024","","34024","5","","","","1"
"34734","","34734","5","","","","1"
"71499","","71499","5","","","","1"
"54483","","54483","5","","","","1"
"69591","","69591","5","","","","1"
"25175","","25175","5","","","","1"
"15382","","15382","5","","","","1"
"75883","","75883","5","","","","1"
"66385","","66385","5","","","","1"
"25725","","25725","5","","","","1"
"36087","","36087","5","","","","1"
"88581","","88581","5","","","","1"
"99974","","99974","5","","","","1"
"97256","","97256","5","","","","1"
"88988","","88988","5","","","","1"
"76126","","76126","5","","","","1"
"79650","","79650","5","","","","1"
"57956","","57956","5","","","","1"
"23381","","23381","5","","","","1"
"25295","","25295","5","","","","1"
"18606","","18606","5","","","","1"
"19820","","19820","5","","","","1"
"17045","","17045","5","","","","1"
"74326","","74326","5","","","","1"
"83536","","83536","5","","","","1"
"52219","","52219","5","","","","1"
"98322","","98322","5","","","","1"
"33664","","33664","5","","","","1"
"98463","","98463","5","","","","1"
"99279","","99279","5","","","","1"
"21781","","21781","5","","","","1"
"74421","","74421","5","","","","1"
"10825","","10825","5","","","","1"
"49959","","49959","5","","","","1"
"55144","","55144","5","","","","1"
"57246","","57246","5","","","","1"
"33646","","33646","5","","","","1"
"42001","","42001","5","","","","1"
"85114","","85114","5","","","","1"
"59656","","59656","5","","","","1"
"24053","","24053","5","","","","1"
"16797","","16797","5","","","","1"
"61269","","61269","5","","","","1"
"28424","","28424","5","","","","1"
"16119","","16119","5","","","","1"
"22115","","22115","5","","","","1"
"17470","","17470","5","","","","1"
"46916","","46916","5","","","","1"
"21036","","21036","5","","","","1"
"80898","","80898","5","","","","1"
"45919","","45919","5","","","","1"
"25314","","25314","5","","","","1"
"22900","","22900","5","","","","1"
"76564","","76564","5","","","","1"
"68003","","68003","5","","","","1"
"81879","","81879","5","","","","1"
"73130","","73130","5","","","","1"
"78510","","78510","5","","","","1"
"16272","","16272","5","","","","1"
"40269","","40269","5","","","","1"
"34316","","34316","5","","","","1"
"47922","","47922","5","","","","1"
"19425","","19425","5","","","","1"
"P57317","","P57317","5","P","","","1"
"94183","","94183","5","","","","1"
"57424","","57424","5","","","","1"
"19530","","19530","5","","","","1"
"21063","","21063","5","","","","1"
"77480","","77480","5","","","","1"
"50950","","50950","5","","","","1"
"94519","","94519","5","","","","1"
"88496","","88496","5","","","","1"
"50637","","50637","5","","","","1"
"56565","","56565","5","","","","1"
"27309","","27309","5","","","","1"
"81842","","81842","5","","","","1"
"79661","","79661","5","","","","1"
"16191","","16191","5","","","","1"
"88228","","88228","5","","","","1"
"87078","","87078","5","","","","1"
"50558","","50558","5","","","","1"
"66175","","66175","5","","","","1"
"22013","","22013","5","","","","1"
"73588","","73588","5","","","","1"
"18992","","18992","5","","","","1"
"55503","","55503","5","","","","1"
"13746","","13746","5","","","","1"
"69098","","69098","5","","","","1"
"38376","","38376","5","","","","1"
"40017","","40017","5","","","","1"
"30838","","30838","5","","","","1"
"50366","","50366","5","","","","1"
"42497","","42497","5","","","","1"
"61579","","61579","5","","","","1"
"51532","","51532","5","","","","1"
"45140","","45140","5","","","","1"
