table_name,field_name,client_permission,custom_mutation_logic
activity_logs,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
activity_logs,action,read_only,"Server-generated field based on activity tracking. Client updates are always rejected."
activity_logs,loggable_type,read_only,"Server-generated field based on activity tracking. Client updates are always rejected."
activity_logs,metadata,read_only,"Server-generated field based on activity tracking. Client updates are always rejected."
activity_logs,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
activity_logs,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
activity_logs,user_id,read_only,"Server-generated field based on current user context. Client updates are always rejected."
activity_logs,client_id,read_only,"Server-generated field based on activity tracking. Client updates are always rejected."
activity_logs,job_id,read_only,"Server-generated field based on activity tracking. Client updates are always rejected."
activity_logs,loggable_id,read_only,"Server-generated field based on activity tracking. Client updates are always rejected."
clients,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
clients,name,read_write,"Client can set any non-empty string value. Server validates presence and updates name_normalized field."
clients,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
clients,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
clients,name_normalized,read_only,"Server calculates from name field using normalize_name callback. Client can suggest value but server always overrides with normalized version of name field."
clients,client_type,read_write,"Client can set to 'residential' or 'business' enum values. Server validates enum membership."
contact_methods,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
contact_methods,value,read_write,"Client can set any string value. Server may format and store in formatted_value field."
contact_methods,formatted_value,read_only,"Server calculates formatted version of value field. Client can suggest value but server always overrides with formatted version."
contact_methods,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
contact_methods,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
contact_methods,person_id,read_write,"Client can set to valid UUID of existing person. Server validates foreign key constraint."
contact_methods,contact_type,read_write,"Client can set to valid contact type enum value. Server validates enum membership."
devices,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
devices,name,read_write,"Client can set any string value. Server accepts all valid string inputs."
devices,model,read_write,"Client can set any string value. Server accepts all valid string inputs."
devices,serial_number,read_write,"Client can set any string value. Server accepts all valid string inputs."
devices,location,read_write,"Client can set any string value. Server accepts all valid string inputs."
devices,notes,read_write,"Client can set any text value. Server accepts all valid text inputs."
devices,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
devices,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
devices,client_id,read_write,"Client can set to valid UUID of existing client. Server validates foreign key constraint."
devices,person_id,read_write,"Client can set to valid UUID of existing person. Server validates foreign key constraint."
job_assignments,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
job_assignments,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
job_assignments,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
job_assignments,job_id,read_write,"Client can set to valid UUID of existing job. Server validates foreign key constraint."
job_assignments,user_id,read_write,"Client can set to valid UUID of existing user. Server validates foreign key constraint."
job_people,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
job_people,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
job_people,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
job_people,job_id,read_write,"Client can set to valid UUID of existing job. Server validates foreign key constraint."
job_people,person_id,read_write,"Client can set to valid UUID of existing person. Server validates foreign key constraint."
job_targets,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
job_targets,target_type,read_write,"Client can set to valid target type value. Server validates enum membership."
job_targets,status,read_write,"Client can set to valid status value. Server validates enum membership and defaults to 'active'."
job_targets,instance_number,read_only,"Server auto-increments from 1 for multiple instances. Client can suggest value but server always overrides with calculated sequence."
job_targets,reason,read_write,"Client can set any string value. Server accepts all valid string inputs."
job_targets,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
job_targets,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
job_targets,job_id,read_write,"Client can set to valid UUID of existing job. Server validates foreign key constraint."
job_targets,target_id,read_write,"Client can set to valid UUID of existing target. Server validates foreign key constraint."
jobs,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
jobs,title,read_write,"Client can set any non-empty string value. Server validates presence requirement."
jobs,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
jobs,updated_at,read_only,"Server always overrides with current timestamp on any mutation or when tasks are modified."
jobs,description,read_write,"Client can set any text value. Server accepts all valid text inputs."
jobs,lock_version,read_only,"Server manages optimistic locking version counter. Client updates are always rejected."
jobs,client_id,read_write,"Client can set to valid UUID of existing client. Server validates foreign key constraint."
jobs,created_by_id,read_only,"Server sets to current user ID on creation. Client updates are always rejected."
jobs,due_at,read_write,"Client can set any valid datetime value. Server updates due_time_set flag based on whether time component is provided."
jobs,due_time_set,read_only,"Server calculates based on due_at field having time component. Client can suggest value but server always overrides."
jobs,starts_at,read_write,"Client can set any valid datetime value. Server updates start_time_set flag based on whether time component is provided."
jobs,start_time_set,read_only,"Server calculates based on starts_at field having time component. Client can suggest value but server always overrides."
jobs,status,read_write,"Client can set to valid status enum value (open, in_progress, etc.). Server validates enum membership and defaults to 'open'."
jobs,priority,read_write,"Client can set to valid priority enum value (critical, high, normal, low, proactive_followup). Server validates enum membership and defaults to 'normal'."
notes,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
notes,notable_type,read_write,"Client can set to valid polymorphic type. Server validates type exists in application."
notes,content,read_write,"Client can set any text value. Server accepts all valid text inputs."
notes,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
notes,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
notes,metadata,read_write,"Client can set any valid JSON object. Server accepts all valid JSON structures."
notes,user_id,read_only,"Server sets to current user ID on creation. Client updates are always rejected."
notes,notable_id,read_write,"Client can set to valid UUID of existing notable entity. Server validates foreign key constraint."
people,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
people,name,read_write,"Client can set any string value. Server accepts all valid string inputs."
people,notes,read_write,"Client can set any text value. Server accepts all valid text inputs."
people,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
people,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
people,client_id,read_write,"Client can set to valid UUID of existing client. Server validates foreign key constraint."
refresh_tokens,id,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,jti,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,family_id,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,expires_at,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,device_fingerprint,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,revoked_at,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,created_at,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,updated_at,hidden,"Security-sensitive field. Client access completely blocked."
refresh_tokens,user_id,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,id,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,jti,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,user_id,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,user_uuid,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,revoked_at,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,expires_at,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,created_at,hidden,"Security-sensitive field. Client access completely blocked."
revoked_tokens,updated_at,hidden,"Security-sensitive field. Client access completely blocked."
scheduled_date_time_users,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
scheduled_date_time_users,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
scheduled_date_time_users,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
scheduled_date_time_users,scheduled_date_time_id,read_write,"Client can set to valid UUID of existing scheduled_date_time. Server validates foreign key constraint."
scheduled_date_time_users,user_id,read_write,"Client can set to valid UUID of existing user. Server validates foreign key constraint."
scheduled_date_times,id,read_only,"Client can only set this field on new records; must be valid UUID format. Server rejects updates to existing records."
scheduled_date_times,schedulable_type,read_write,"Client can set to valid polymorphic type. Server validates type exists in application."
scheduled_date_times,scheduled_type,read_write,"Client can set to valid scheduled type enum value. Server validates enum membership."
scheduled_date_times,notes,read_write,"Client can set any text value. Server accepts all valid text inputs."
scheduled_date_times,created_at,read_only,"Client can only set this field on new records; server rejects updates to existing records."
scheduled_date_times,updated_at,read_only,"Server always overrides with current timestamp on any mutation."
scheduled_date_times,schedulable_id,read_write,"Client can set to valid UUID of existing schedulable entity. Server validates foreign key constraint."
scheduled_date_times,scheduled_at,read_write,"Client can set any valid datetime value. Server updates scheduled_time_set flag based on whether time component is provided."
scheduled_date_times,scheduled_time_set,read_only,"Server calculates based on scheduled_at field having time component. Client can suggest value but server always overrides."
solid_cable_messages,id,hidden,"Infrastructure table. Client access completely blocked."
solid_cable_messages,channel,hidden,"Infrastructure table. Client access completely blocked."
solid_cable_messages,payload,hidden,"Infrastructure table. Client access completely blocked."
solid_cable_messages,created_at,hidden,"Infrastructure table. Client access completely blocked."
solid_cable_messages,channel_hash,hidden,"Infrastructure table. Client access completely blocked."
solid_cache_entries,id,hidden,"Infrastructure table. Client access completely blocked."
solid_cache_entries,key,hidden,"Infrastructure table. Client access completely blocked."
solid_cache_entries,value,hidden,"Infrastructure table. Client access completely blocked."
solid_cache_entries,created_at,hidden,"Infrastructure table. Client access completely blocked."
solid_cache_entries,key_hash,hidden,"Infrastructure table. Client access completely blocked."
solid_cache_entries,byte_size,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_blocked_executions,id,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_blocked_executions,job_id,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_blocked_executions,queue_name,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_blocked_executions,priority,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_blocked_executions,concurrency_key,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_blocked_executions,expires_at,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_blocked_executions,created_at,hidden,"Infrastructure table. Client access completely blocked."
solid_queue_claimed_executions,id,hidden,"Infrastructure table. Client access completely blocked."
